ID,CODE_GENDER,FLAG_OWN_CAR,FLAG_OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,NAME_INCOME_TYPE,NAME_EDUCATION_TYPE,NAME_FAMILY_STATUS,NAME_HOUSING_TYPE,DAYS_BIRTH,DAYS_EMPLOYED,FLAG_MOBIL,FLAG_WORK_PHONE,FLAG_PHONE,FLAG_EMAIL,OCCUPATION_TYPE,CNT_FAM_MEMBERS
7939333,M,Y,N,0,189000,Commercial associate,Secondary / secondary special,Married,House / apartment,-20811,-4986,1,0,0,0,Drivers,2
7190176,M,Y,Y,0,225000,Commercial associate,Secondary / secondary special,Married,House / apartment,-18705,-1249,1,0,0,0,Security staff,2
7272218,F,N,Y,0,112500,Working,Secondary / secondary special,Married,House / apartment,-19115,-1272,1,0,1,0,Laborers,2
7415565,M,Y,N,2,202500,Working,Secondary / secondary special,Civil marriage,House / apartment,-12651,-4827,1,1,0,1,,4
7148433,M,N,Y,0,202500,Commercial associate,Higher education,Married,House / apartment,-11539,-410,1,0,0,1,,2
7352052,F,N,Y,0,135000,Pensioner,Higher education,Married,House / apartment,-20470,365243,1,0,0,0,,2
7829807,F,Y,Y,0,292500,Commercial associate,Higher education,Married,House / apartment,-15787,-2852,1,0,0,0,Accountants,2
7405732,F,N,Y,0,315000,Working,Higher education,Single / not married,House / apartment,-9246,-1342,1,0,0,0,Accountants,1
7117025,F,Y,Y,0,126000,Pensioner,Secondary / secondary special,Married,House / apartment,-21731,365243,1,0,0,0,,2
7565666,M,N,Y,2,180000,Commercial associate,Higher education,Married,House / apartment,-13738,-1490,1,0,0,0,Managers,4
7233226,F,N,Y,0,382500,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-15304,-381,1,0,1,0,Cleaning staff,1
7193112,F,N,Y,1,202500,State servant,Higher education,Single / not married,House / apartment,-13394,-4535,1,0,0,0,Core staff,2
7053725,F,Y,Y,1,225000,Working,Higher education,Separated,House / apartment,-14816,-1672,1,0,0,0,Core staff,2
7794894,F,Y,Y,0,202500,Commercial associate,Higher education,Married,House / apartment,-19814,-3480,1,0,1,0,Accountants,2
7607836,F,N,Y,0,67500,Working,Higher education,Married,House / apartment,-10468,-826,1,0,0,0,,2
7839220,F,Y,Y,0,135000,Working,Higher education,Married,Municipal apartment,-22285,-3305,1,1,1,0,Sales staff,2
7465416,F,N,N,0,135000,Working,Secondary / secondary special,Married,House / apartment,-23391,-5846,1,0,0,0,Core staff,2
7585365,M,Y,N,2,112500,Working,Secondary / secondary special,Married,House / apartment,-13847,-3104,1,0,0,0,Laborers,4
7210184,F,N,N,0,202500,Commercial associate,Higher education,Civil marriage,With parents,-9284,-355,1,0,0,0,Accountants,2
7296059,F,N,Y,0,225000,Pensioner,Secondary / secondary special,Widow,House / apartment,-23654,365243,1,0,0,0,,1
7575058,F,N,Y,0,180000,State servant,Secondary / secondary special,Married,House / apartment,-11547,-2004,1,0,0,0,Medicine staff,2
7712601,F,Y,Y,0,72000,Working,Secondary / secondary special,Married,House / apartment,-17590,-3170,1,0,0,0,Laborers,2
7091231,M,Y,N,3,112500,Working,Higher education,Married,House / apartment,-10890,-1934,1,0,0,0,Drivers,5
7068244,F,N,Y,0,247500,Working,Secondary / secondary special,Married,House / apartment,-11268,-2545,1,1,1,0,Laborers,2
7128007,M,Y,Y,3,238500,Working,Secondary / secondary special,Married,House / apartment,-14055,-2906,1,1,0,0,,5
7035894,M,N,Y,0,157500,Working,Secondary / secondary special,Single / not married,House / apartment,-9667,-1111,1,0,0,0,Laborers,1
7087995,M,Y,Y,0,202500,Commercial associate,Higher education,Civil marriage,House / apartment,-12093,-510,1,0,0,0,Drivers,2
7228848,F,N,N,0,90000,Pensioner,Secondary / secondary special,Married,House / apartment,-20781,365243,1,0,0,0,,2
7993173,F,Y,Y,0,225000,Working,Higher education,Separated,House / apartment,-16016,-5065,1,0,0,1,Core staff,1
7512834,F,N,Y,1,135000,Working,Secondary / secondary special,Separated,House / apartment,-16602,-9767,1,0,0,0,Medicine staff,2
7677594,F,N,Y,0,112500,Working,Secondary / secondary special,Married,House / apartment,-18429,-1433,1,1,1,0,Cleaning staff,2
7497942,F,N,Y,0,157500,Working,Secondary / secondary special,Married,House / apartment,-15243,-2661,1,0,0,0,Core staff,2
7528448,F,N,Y,2,247500,Working,Higher education,Married,House / apartment,-14383,-1877,1,0,0,0,High skill tech staff,4
7866942,F,N,Y,0,135000,Working,Secondary / secondary special,Single / not married,With parents,-11350,-367,1,1,0,0,,1
7335843,M,Y,N,0,315000,Working,Higher education,Separated,House / apartment,-12896,-980,1,0,0,0,Cooking staff,1
7140887,F,N,N,0,360000,State servant,Secondary / secondary special,Civil marriage,Municipal apartment,-17071,-2585,1,0,1,0,,2
7460511,F,N,N,0,90000,Working,Secondary / secondary special,Married,House / apartment,-15634,-1327,1,1,1,0,Sales staff,2
7736038,F,N,N,0,72000,Pensioner,Secondary / secondary special,Married,House / apartment,-24393,365243,1,0,1,0,,2
7544507,F,N,N,0,117000,Working,Secondary / secondary special,Married,House / apartment,-14725,-7489,1,1,0,0,,2
7651604,M,Y,N,0,283500,Working,Higher education,Single / not married,House / apartment,-13062,-299,1,1,0,0,,1
